Type,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
3,"Anđelić, Nikola; Baressi Šegota, Sandi; Lorencin, Ivan; Jurilj, Zdravko; Šušteršič, Tijana; Blagojević, Anđela; Protić, Alen; Ćabov, Tomislav; Filipović, Nenad; Car, Zlatan; ",Estimation of covid-19 epidemiology curve of the united states using genetic programming algorithm,International Journal of Environmental Research and Public Health,18,3,959,2021,Multidisciplinary Digital Publishing Institute
3,"Lorencin, Ivan; Baressi Šegota, Sandi; Anđelić, Nikola; Mrzljak, Vedran; Ćabov, Tomislav; Španjol, Josip; Car, Zlatan; ",On Urinary Bladder Cancer Diagnosis: Utilization of Deep Convolutional Generative Adversarial Networks for Data Augmentation,Biology,10,3,175,2021,Multidisciplinary Digital Publishing Institute
2,"Mrzljak, Vedran; Prpić-Oršić, Jasna; Poljak, Igor; Baressi Šegota, Sandi; ","Efficiencies and losses comparison of three steam turbines–from conventional, nuclear and marine power plant",Machines. Technologies. Materials.,15,1,Oct-14,2021,"Scientific Technical Union of Mechanical Engineering"" Industry 4.0"""
1,"Blagojević, Anđela; Šušteršič, Tijana; Lorencin, Ivan; Baressi Šegota, Sandi; Milovanović, Dragan; Baskić, Danijela; Baskić, Dejan; Car, Zlatan; Filipović, Nenad; ",Combined machine learning and finite element simulation approach towards personalized model for prognosis of COVID-19 disease development in patients,EAI Endorsed Transactions on Bioengineering and Bioinformatics,1,2,e6,2021,
3,"Musulin, Jelena; Baressi Šegota, Sandi; Štifanić, Daniel; Lorencin, Ivan; Anđelić, Nikola; Šušteršič, Tijana; Blagojević, Anđela; Filipović, Nenad; Ćabov, Tomislav; Markova-Car, Elitza; ",Application of Artificial Intelligence-Based Regression Methods in the Problem of COVID-19 Spread Prediction: A Systematic Review,International Journal of Environmental Research and Public Health,18,8,4287,2021,Multidisciplinary Digital Publishing Institute
1,"Baressi Šegota, S; Lorencin, I; Anđelić, N; Štifanić, D; Musulin, J; Vlahinić, S; Šušteršič, T; Blagojević, A; Car, Z; ",Automated Pipeline for Continual Data Gathering and Retraining of the Machine Learning-Based COVID-19 Spread Models,EAI Endorsed Transactions on Bioengineering and Bioinformatics,,,,2021,
3,"Anđelić, Nikola; Baressi Šegota, Sandi; Lorencin, Ivan; Poljak, Igor; Mrzljak, Vedran; Car, Zlatan; ",Use of Genetic Programming for the Estimation of CODLAG Propulsion System Parameters,Journal of Marine Science and Engineering,9,6,612,2021,Multidisciplinary Digital Publishing Institute
2,"Baressi Šegota, Sandi; Štifanić, Daniel; Musulin, Jelena; Car, Zlatan; ",A Brief Note on the Influence of Storage Choices on Machine Learning Algorithm Training Times,Ri-STEM-2021,,,19,2021,
2,"Baressi Šegota, Sandi; Anđelić, Nikola; Lorencin, Ivan; Štifanić, Daniel; Musulin, Jelena; Car, Zlatan; ",Z4 HPC Cluster,RI-STEM-2021,1,1,51-56,2021,
4,"Mrzljak, Vedran; Anđelić, Nikola; Lorencin, Ivan; Baressi Šegota, Sandi; ",The influence of various optimization algorithms on nuclear power plant steam turbine exergy efficiency and destruction,Pomorstvo,35,1,69-86,2021,
2,"Šušteršič, Tijana; Blagojević, Andjela; Cvetković, Danijela; Cvetković, Aleksandar; Lorencin, Ivan; Baressi Šegota, Sandi; Car, Zlatan; Filipović, Nenad; ",EPIDEMIOLOGICAL PREDICTIVE MODELLING OF COVID-19 SPREAD,8th Conference of Serbian Society for Mechanics,,,,,
2,"Car, Zlatan; Baressi Šegota, Sandi; Anđelić, Nikola; Lorencin, Ivan; Musulin, Jelena; Štifanić, Daniel; Mrzljak, Vedran; ",DETERMINING INVERSE KINEMATICS OF A SERIAL ROBOTIC MANIPULATOR THROUGH THE USE OF GENETIC PROGRAMMING ALGORITHM,8th Conference of Serbian Society for Mechanics,,,,2021,
1,"Štifanić, D; Musulin, J; Jurilj, Z; Šegota, S; Lorencin, I; Anđelić, N; Vlahinić, S; Šušteršič, T; Blagojević, A; Filipović, N; ",Semantic segmentation of chest X-ray images based on the severity of COVID-19 infected patients,EAI Endorsed Transactions on Bioengineering and Bioinformatics,1,,e3,2021,EAI
4,"Baressi Šegota, Sandi; Anđelić, Nikola; Car, Zlatan; Šercer, Mario; ",Neural Network-Based Model for Classification of Faults During Operation of a Robotic Manipulator,Technical Gazzete,28,4,1380-1387,2021,
1,"Mrzljak, Vedran; Kudláček, Jan; Baressi Šegota, Sandi; Medica-Viola, Vedran; ",Energy and Exergy Analysis of Waste Heat Recovery Closed-Cycle Gas Turbine System while Operating with Different Medium,Pomorski zbornik,60,1,21-48,2021,
3,"Baressi Šegota, Sandi; Anđelić, Nikola; Mrzljak, Vedran; Lorencin, Ivan; Kuric, Ivan; Car, Zlatan; ",Utilization of multilayer perceptron for determining the inverse kinematics of an industrial robotic manipulator,International Journal of Advanced Robotic Systems,18,4,1.72988E+15,2021,SAGE Publications
3,"Blagojević, Anđela; Šušteršič, Tijana; Lorencin, Ivan; Baressi Šegota, Sandi; Anđelić, Nikola; Milovanović, Dragan; Baskić, Danijela; Baskić, Dejan; Petrović, Nataša Zdravković; Sazdanović, Predrag; ",Artificial intelligence approach towards assessment of condition of COVID-19 patients-Identification of predictive biomarkers associated with severity of clinical condition and disease progression,Computers in biology and medicine,138,,104869,2021,Pergamon
3,"Šušteršič, Tijana; Blagojević, Andjela; Cvetković, Danijela; Cvetković, Aleksandar; Lorencin, Ivan; Baressi Šegota, Sandi; Milovanović, Dragan; Baskić, Dejan; Car, Zlatan; Filipović, Nenad; ","Epidemiological Predictive Modeling of COVID-19 Infection: Development, Testing, and Implementation on the Population of the Benelux Union",Frontiers in Public Health,,,1567,2021,Frontiers
2,"Vedran, Mrzljak; Jasna, PhD Prpić-Oršić; Igor, Poljak; Sandi, Baressi Šegota; ",Efficiency and loss analysis of main steam condenser from nuclear power plant at various loads and ambient temperatures,MTM,,,,,
4,"Baressi Šegota, Sandi; Mrzljak, Vedran; Štifanić, Daniel; ",Comparison of Conventional and Heat Balance Based Energy Analyses of Steam Turbine,Pomorstvo,34,1,,2020,
2,"Baressi Šegota, Sandi; Musulin, Jelena; Anđelić, Nikola; Štifanić, Daniel; Lorencin, Ivan; Car, Zlatan; ",Preparation of Simplified Molecular Input Line Entry System Notation Datasets for use in Convolutional Neural Networks,IEEE BIBE,,,,2021,
2,"Car, Zlatan; Anđelić, Nikola; Lorencin, Ivan; Musulin, Jelena; Štifanić, Daniel; Baressi Šegota, Sandi; ",APPLICATION OF ARTIFICIAL INTELLIGENCE-BASED IMAGE ANALYSIS IN BIOINFORMATICS,1st ICCBIKG,,,,2021,
3,"Baressi Šegota, Sandi; Lorencin, Ivan; Smolić, Klara; Anđelić, Nikola; Markić, Dean; Mrzljak, Vedran; Štifanić, Daniel; Musulin, Jelena; Španjol, Josip; Car, Zlatan; ",Semantic Segmentation of Urinary Bladder Cancer Masses From CT Images: A Transfer Learning Approach,Biology,10,11,1134,2021,Multidisciplinary Digital Publishing Institute
